Age,Gender,Country,Occupation,Marital Status,Daily Social Media Time (hrs),Daily Entertainment Time (hrs),Daily Messaging Time (hrs),Daily Video Content Time (hrs),Daily Gaming Time (hrs),Primary Platform,Screen Time (hrs),Device Type,Internet Speed (Mbps),Data Plan Used,Social Media Fatigue Level (scale 1-10),Digital Well-being Awareness,Tech Savviness Level (scale 1-10),Average Sleep Time (hrs),Sleep Quality (scale 1-10),Social Isolation Feeling (scale 1-10),Physical Activity Time (hrs),Monthly Income (USD),Monthly Expenditure on Entertainment (USD),Subscription Platforms,Preferred Content Type,Primary Social Media Goal,Preferred Entertainment Platform,Time Spent in Online Communities (hrs),News Consumption Time (hrs)
53,Male,UK,Unemployed,Widowed,5.03,2.97,2.68,6.05,0.05,Facebook,6.76,Smartphone,64.25,50GB,6,Low,2,8.33,7,6,1.2,659.18,478.14,0,Movies,Entertainment,Amazon Prime,3.66,2.85
40,Other,USA,Retired,Divorced,5.27,3.88,4.5,3.94,0.8,Instagram,9.68,Smartphone,82.84,50GB,5,Low,2,6.86,3,3,2.52,6016.61,98.79,1,Short Videos,Entertainment,Amazon Prime,0.75,2.21
57,Other,Canada,Retired,Single,4.24,4.27,0.23,6.86,1.28,Instagram,4.11,Smartphone,51.63,50GB,6,Moderate,2,8.46,9,3,0.22,8883.89,290.08,0,News,News,Netflix,2.86,2.36
41,Female,India,Professional,Divorced,1.81,1.29,3.47,0.66,2.02,Facebook,9.29,Smartphone,84.87,10GB,9,Moderate,9,8.11,7,8,2.51,3494.38,485.5,4,Short Videos,Networking,YouTube,2.46,0.09
42,Female,USA,Unemployed,Married,5.49,4.67,1.42,5.66,3.12,Facebook,4.87,Tablet,25.15,Unlimited,6,Moderate,8,6.35,9,7,2.66,5213.97,101.32,4,News,News,YouTube,3.15,0.9
58,Female,Australia,Unemployed,Divorced,1.27,9.54,3.84,4.19,2.67,YouTube,8.88,PC,81.28,50GB,3,High,3,5.43,9,5,1.15,6561.07,466.54,5,News,Networking,Amazon Prime,2.34,1.52
33,Female,UK,Professional,Single,6.21,3.23,1.7,4.57,2.16,TikTok,6.93,Tablet,94.3,50GB,1,Low,6,8.62,7,1,0.09,2952.69,279.25,5,Series,Education,YouTube,1.59,1.82
19,Female,Australia,Student,Divorced,3.77,6.78,2.91,0.93,4.87,Instagram,11.44,Tablet,37.75,50GB,7,Low,2,4.92,4,4,2.87,9766.35,156.56,5,Movies,Networking,Netflix,1.95,0.06
14,Male,Canada,Student,Widowed,5.13,1.9,1.95,2.23,4.91,Instagram,5.29,Smartphone,59.15,Unlimited,1,Moderate,5,6.55,1,7,2.61,1514.91,412.1,5,Series,Education,YouTube,1.71,2.62
52,Other,Australia,Retired,Married,5.85,2.19,0.51,4.85,4.72,YouTube,2.35,PC,34.54,10GB,8,Moderate,7,8.8,4,3,2.11,2450.43,231.0,3,Movies,Entertainment,YouTube,2.02,2.6
45,Other,Germany,Student,Divorced,5.7,1.41,2.6,0.61,4.88,Twitter,2.95,PC,61.45,10GB,8,High,9,4.17,6,2,0.01,7380.59,480.54,5,Movies,Networking,Netflix,0.46,1.98
49,Other,Canada,Unemployed,Single,3.37,2.58,1.47,1.74,0.84,Instagram,9.61,PC,21.61,Unlimited,9,Moderate,4,6.9,3,1,1.48,7624.36,292.92,2,Movies,Education,Netflix,1.93,1.88
24,Other,India,Unemployed,Divorced,3.93,1.58,3.25,2.55,4.08,TikTok,10.94,Smartphone,40.33,10GB,1,Low,5,8.69,3,6,0.49,1035.69,354.41,1,News,Networking,Spotify,0.66,1.58
20,Other,Australia,Unemployed,Widowed,1.25,6.63,4.04,2.34,4.01,Twitter,3.13,Tablet,27.05,50GB,8,Moderate,4,8.37,1,4,0.62,8954.61,495.8,5,Short Videos,Entertainment,Netflix,1.78,0.94
13,Female,USA,Retired,Married,0.89,9.48,1.73,1.59,1.53,Facebook,10.87,Smartphone,26.22,50GB,7,Low,3,7.26,9,1,1.82,9042.5,27.56,2,Movies,News,Spotify,1.74,2.46
31,Male,Canada,Unemployed,Married,6.08,4.14,4.94,2.31,0.95,Facebook,11.73,PC,57.09,Unlimited,3,High,8,7.82,9,5,2.05,2152.8,105.36,1,Series,Education,Netflix,3.45,2.24
43,Male,USA,Unemployed,Married,6.24,5.28,3.45,1.88,1.67,Twitter,7.81,PC,52.09,50GB,8,High,4,5.89,4,8,1.62,6537.49,167.16,5,Series,News,Spotify,3.38,1.97
33,Other,USA,Unemployed,Married,3.77,2.82,4.06,3.21,1.58,Twitter,4.18,Tablet,27.2,10GB,6,Low,6,7.46,5,4,2.25,7840.01,59.02,4,News,Entertainment,Spotify,0.04,2.64
35,Male,Australia,Retired,Widowed,5.98,4.39,4.86,2.54,4.01,Instagram,11.01,PC,56.82,10GB,4,High,7,7.3,9,4,2.18,7545.48,128.33,3,Series,Entertainment,Amazon Prime,0.85,1.98
60,Other,Canada,Retired,Widowed,5.22,1.68,3.84,0.77,0.85,Facebook,2.8,Smartphone,7.38,Unlimited,6,High,6,8.27,6,9,0.13,1877.94,1.58,5,Movies,News,Netflix,3.23,0.08
31,Other,Germany,Retired,Divorced,6.28,3.87,3.37,3.74,4.61,Facebook,8.2,PC,36.6,10GB,8,Moderate,3,7.73,1,3,2.83,4989.26,492.63,1,News,Education,Spotify,3.66,1.2
39,Other,Australia,Professional,Divorced,3.33,7.2,0.62,3.41,1.13,TikTok,7.06,Smartphone,95.9,10GB,1,Low,4,4.19,6,7,1.96,2971.61,311.48,4,News,News,Spotify,1.86,1.93
53,Other,USA,Student,Widowed,0.68,8.25,2.88,5.36,1.77,YouTube,2.84,Smartphone,94.38,10GB,7,Moderate,3,8.03,1,6,1.56,2235.34,472.83,5,Movies,Entertainment,Amazon Prime,2.61,1.26
33,Male,Germany,Student,Married,0.84,1.01,4.88,3.5,0.89,Facebook,4.07,Smartphone,5.2,50GB,1,Low,1,8.63,3,4,0.3,1239.69,35.66,2,Series,Networking,Spotify,0.63,1.37
45,Other,Australia,Student,Widowed,0.71,5.6,3.85,3.51,3.14,YouTube,10.69,Tablet,63.04,10GB,8,Low,1,8.52,1,2,0.37,5031.61,328.02,2,Movies,News,Netflix,3.48,0.81
57,Other,UK,Retired,Widowed,0.51,3.8,4.16,0.95,0.91,Twitter,6.31,PC,19.17,Unlimited,6,Moderate,3,4.3,6,7,2.54,8727.23,308.15,4,Short Videos,Education,Netflix,3.27,0.08
62,Male,Germany,Professional,Single,4.27,9.3,1.22,3.75,4.02,YouTube,3.59,PC,44.8,50GB,5,Low,2,6.21,7,1,2.74,8185.09,271.66,0,Movies,Networking,Spotify,2.93,1.45
20,Other,Australia,Retired,Single,7.09,7.38,2.07,5.17,4.86,Facebook,4.79,Tablet,78.85,10GB,4,Moderate,1,5.14,1,4,0.89,5701.98,215.95,2,Movies,Networking,Netflix,3.23,0.97
61,Male,Australia,Retired,Divorced,6.85,7.84,4.61,3.31,0.63,Instagram,6.79,Smartphone,27.24,50GB,2,High,2,4.87,6,5,0.09,8133.11,271.42,0,Short Videos,News,Amazon Prime,2.17,0.87
38,Other,USA,Student,Single,4.39,9.26,4.52,6.3,1.89,Twitter,10.09,Tablet,7.17,Unlimited,2,High,9,8.04,5,5,2.71,1979.34,387.75,3,Short Videos,News,Spotify,0.26,0.77
26,Female,Australia,Unemployed,Single,3.71,5.44,4.89,1.32,3.96,Instagram,3.63,Smartphone,36.68,Unlimited,3,High,1,7.79,7,8,2.19,4724.32,29.63,3,News,Entertainment,YouTube,1.96,1.52
36,Female,UK,Retired,Divorced,5.15,8.18,1.78,6.28,3.45,Facebook,2.98,Smartphone,21.86,10GB,5,Low,1,5.26,6,9,2.15,6519.38,189.25,0,News,Entertainment,Netflix,3.5,2.93
63,Male,Canada,Professional,Single,3.38,2.69,4.38,1.96,2.45,TikTok,11.21,Smartphone,37.7,Unlimited,9,Moderate,7,6.49,4,6,0.88,1053.15,227.9,3,Series,Education,YouTube,0.82,2.51
38,Male,USA,Unemployed,Married,3.08,9.87,4.97,6.57,3.79,YouTube,10.3,Smartphone,80.46,50GB,9,Low,7,5.2,5,7,1.03,6821.91,421.51,4,News,Education,YouTube,0.52,1.71
30,Male,India,Professional,Married,2.82,9.06,2.89,5.08,1.3,Twitter,8.75,Tablet,51.41,50GB,3,Moderate,9,5.78,5,3,1.88,8510.2,243.68,3,News,Education,YouTube,1.72,1.01
45,Female,UK,Student,Single,3.36,2.72,2.6,0.97,2.11,Twitter,5.73,Tablet,65.62,50GB,4,Moderate,1,7.82,4,7,0.88,9712.31,200.45,0,News,Networking,Netflix,3.92,2.87
25,Other,Germany,Professional,Married,6.94,4.59,4.71,3.19,3.8,YouTube,5.48,PC,51.24,50GB,7,Low,2,7.22,8,1,0.33,6184.65,142.43,3,Series,News,Spotify,1.36,1.5
16,Other,India,Professional,Widowed,7.66,6.96,3.83,4.62,4.93,TikTok,5.09,Smartphone,49.58,10GB,1,High,8,4.95,5,4,1.2,3906.01,310.61,1,Movies,Networking,YouTube,2.47,2.65
19,Male,USA,Professional,Widowed,1.63,6.13,1.91,6.67,1.49,Facebook,11.91,Smartphone,97.43,50GB,8,Low,2,8.72,5,3,0.99,5311.52,113.55,5,Short Videos,Networking,Netflix,1.72,2.13
19,Male,India,Student,Single,4.51,7.57,3.37,2.11,2.8,Facebook,2.4,Smartphone,35.17,10GB,7,Moderate,5,8.24,1,9,1.0,8133.54,118.9,0,Movies,Education,YouTube,3.99,1.37
20,Male,Canada,Unemployed,Married,6.62,8.82,1.58,2.65,3.41,Instagram,5.29,PC,75.57,Unlimited,3,Low,7,4.33,7,6,0.84,3276.63,58.52,2,Movies,Education,Netflix,2.42,1.42
20,Male,USA,Professional,Divorced,2.03,9.59,4.78,6.75,0.89,Twitter,11.06,Tablet,93.95,50GB,2,Low,6,7.02,8,4,1.02,4084.57,97.61,2,Movies,News,Netflix,2.1,0.23
46,Other,India,Professional,Widowed,5.46,7.54,1.2,4.64,1.08,Twitter,2.36,Smartphone,95.14,50GB,2,High,7,7.13,6,3,1.79,2159.55,133.17,5,News,Education,YouTube,1.32,1.58
22,Female,India,Retired,Single,2.33,4.99,1.03,5.8,4.69,TikTok,9.35,Tablet,70.64,10GB,9,High,8,8.32,6,3,0.2,8926.62,330.37,5,Movies,Networking,Amazon Prime,2.37,0.03
30,Other,USA,Student,Married,3.26,7.03,3.62,5.83,2.22,Facebook,8.89,PC,91.87,Unlimited,6,High,4,7.62,7,4,0.68,2806.38,161.45,2,News,Education,Amazon Prime,3.68,0.2
59,Other,Australia,Professional,Widowed,0.99,5.73,1.08,5.68,2.86,Twitter,5.67,Smartphone,36.93,50GB,8,Moderate,7,6.36,3,8,1.4,9420.98,379.78,3,News,News,Amazon Prime,0.99,1.18
37,Other,India,Unemployed,Single,3.55,8.34,4.05,1.42,4.11,TikTok,5.19,PC,75.94,50GB,7,Moderate,4,4.9,9,6,2.41,1722.47,427.52,2,Series,Entertainment,Spotify,3.52,2.32
47,Other,Australia,Student,Married,2.59,6.13,3.26,1.31,0.81,Facebook,4.75,Tablet,75.61,50GB,7,Low,7,4.3,2,4,1.39,5081.32,166.46,0,Series,Education,Amazon Prime,2.28,2.06
21,Other,USA,Professional,Widowed,2.16,5.91,4.75,4.36,2.29,Instagram,8.6,Tablet,54.91,Unlimited,4,High,9,4.99,6,9,2.75,1851.58,236.99,2,Series,News,Amazon Prime,3.45,1.38
23,Female,Australia,Professional,Single,3.9,8.88,3.61,4.81,1.1,YouTube,4.68,PC,32.94,Unlimited,6,High,3,6.11,2,6,2.16,5720.25,87.79,5,Series,Education,Amazon Prime,0.06,1.6
15,Male,Australia,Professional,Widowed,0.91,9.05,4.8,1.64,3.18,Facebook,11.5,Tablet,41.23,Unlimited,4,High,7,7.32,2,1,1.73,1263.74,151.65,2,Short Videos,Networking,Netflix,1.53,2.48
21,Female,Germany,Student,Single,7.46,7.68,2.96,1.28,3.26,Instagram,8.41,Tablet,87.31,Unlimited,1,Low,1,8.27,9,1,1.78,7616.63,322.38,5,Short Videos,Entertainment,Spotify,3.29,2.84
27,Female,Australia,Student,Married,7.01,1.56,2.58,3.83,0.43,YouTube,6.95,PC,77.67,Unlimited,9,High,1,7.91,2,1,2.32,3387.22,123.61,2,Short Videos,Entertainment,YouTube,1.32,2.76
22,Female,Canada,Student,Divorced,1.95,1.73,4.95,1.7,2.86,Facebook,8.87,Tablet,44.88,10GB,3,High,5,4.54,4,9,2.89,2656.86,380.15,3,News,Entertainment,Amazon Prime,2.19,0.88
17,Female,India,Unemployed,Widowed,5.8,2.41,4.82,4.54,4.38,Instagram,9.73,PC,9.04,10GB,8,Low,1,7.04,9,2,0.82,4633.57,292.56,4,Movies,Education,YouTube,0.24,1.33
19,Male,Canada,Professional,Married,2.87,2.73,3.47,5.31,2.64,TikTok,2.05,Smartphone,61.69,10GB,4,High,7,7.59,9,9,0.36,3285.18,434.84,1,News,Education,YouTube,2.37,1.22
36,Other,Australia,Student,Widowed,5.78,8.88,3.45,0.78,4.58,Instagram,8.36,Tablet,62.07,10GB,2,Low,9,5.26,9,4,2.18,5747.26,131.13,5,Short Videos,Networking,Spotify,0.3,1.72
23,Female,UK,Student,Divorced,2.26,7.19,0.92,4.95,2.8,Facebook,6.81,PC,19.06,50GB,1,Moderate,3,4.26,6,1,1.62,4274.02,434.44,0,News,News,YouTube,3.76,2.08
31,Male,UK,Unemployed,Divorced,5.68,4.5,2.4,1.74,2.25,TikTok,9.66,Smartphone,33.08,10GB,7,High,1,4.77,1,6,1.97,7274.7,157.2,0,News,Entertainment,Netflix,1.33,2.01
39,Other,USA,Professional,Married,7.26,1.48,0.72,1.17,2.28,Instagram,2.43,Smartphone,75.53,10GB,1,Moderate,9,4.94,9,7,0.46,8683.15,441.55,1,Movies,Networking,Spotify,3.05,0.21
48,Other,USA,Professional,Married,1.52,5.28,0.3,6.84,4.37,Facebook,6.89,Smartphone,25.44,Unlimited,7,Moderate,7,5.6,1,9,1.31,5264.9,221.24,1,Series,Education,YouTube,1.21,0.12
15,Male,Canada,Retired,Widowed,0.98,7.9,0.68,2.13,1.85,Facebook,2.82,Smartphone,88.03,50GB,8,High,9,8.16,3,4,1.56,8479.52,442.26,4,Short Videos,Education,Netflix,2.04,2.84
54,Other,USA,Retired,Widowed,6.16,5.96,2.61,2.0,1.01,Instagram,10.94,Tablet,11.23,10GB,5,Low,5,4.88,5,3,2.65,1127.59,263.9,5,Short Videos,Entertainment,YouTube,3.39,2.85
45,Male,UK,Student,Single,3.14,6.48,1.18,3.85,1.9,TikTok,10.28,Smartphone,73.69,Unlimited,9,Low,3,6.58,9,6,0.95,5132.31,403.26,3,Series,Entertainment,Netflix,0.22,1.91
17,Female,UK,Professional,Single,2.08,1.28,4.61,4.82,4.15,Twitter,7.16,Tablet,61.06,10GB,1,High,1,5.68,2,2,0.37,5375.17,434.49,3,News,Entertainment,Spotify,0.01,0.58
58,Male,Australia,Unemployed,Divorced,6.42,1.56,4.87,3.45,2.13,TikTok,2.49,PC,91.71,Unlimited,3,Moderate,7,5.65,6,6,2.88,6190.02,1.94,5,Series,Networking,Netflix,2.56,0.96
60,Other,UK,Professional,Single,6.37,6.19,0.28,3.79,3.34,Twitter,11.5,PC,53.31,50GB,9,High,5,4.98,6,2,0.7,8226.73,280.07,4,News,Education,Netflix,3.33,2.91
16,Male,USA,Professional,Widowed,4.58,2.72,1.78,5.99,2.3,Instagram,8.54,Smartphone,71.13,10GB,3,Moderate,1,6.86,5,3,1.36,5311.19,445.51,0,Short Videos,Education,Spotify,3.32,0.42
27,Male,USA,Unemployed,Married,7.7,8.8,1.52,6.7,4.32,TikTok,11.98,PC,97.23,10GB,9,High,8,5.07,4,9,1.77,9591.14,334.51,2,Series,Entertainment,Netflix,3.69,2.18
54,Female,Canada,Professional,Divorced,2.93,7.59,3.88,1.58,1.6,TikTok,5.18,PC,22.94,Unlimited,6,Moderate,1,7.47,9,3,1.12,8412.62,423.02,0,Short Videos,News,YouTube,0.17,2.64
51,Male,Germany,Professional,Married,3.1,3.96,3.46,0.51,4.88,Twitter,6.4,Smartphone,86.66,50GB,3,Moderate,8,8.47,1,8,1.54,8869.7,365.29,4,Short Videos,Entertainment,YouTube,0.21,0.77
22,Female,Germany,Unemployed,Single,6.54,9.19,4.58,5.55,3.54,Instagram,5.45,PC,81.01,50GB,2,Low,7,5.94,3,2,2.87,8340.07,163.79,1,Series,Education,Spotify,1.93,1.49
23,Male,India,Retired,Married,4.27,5.76,1.97,4.58,4.83,YouTube,10.13,Smartphone,50.38,10GB,9,Low,9,7.07,6,4,1.18,3754.42,256.48,3,News,Networking,YouTube,1.07,0.68
32,Male,USA,Student,Single,6.53,7.1,2.59,0.78,1.78,TikTok,9.11,Smartphone,10.7,10GB,1,High,2,5.89,8,7,0.66,4590.5,359.03,0,Movies,News,Amazon Prime,3.17,0.68
38,Female,UK,Professional,Divorced,3.1,4.87,2.44,4.61,2.57,Twitter,3.51,Tablet,55.33,10GB,3,Low,2,5.65,4,2,1.44,4799.59,495.16,2,Movies,Entertainment,YouTube,3.23,2.2
45,Other,UK,Retired,Single,1.52,4.16,0.28,0.84,1.02,Facebook,10.0,PC,5.48,50GB,7,Low,5,7.83,7,6,2.94,7871.67,348.38,0,Movies,Education,Spotify,3.4,0.89
32,Other,Germany,Student,Single,1.49,2.0,4.0,3.3,0.45,Instagram,6.95,PC,30.74,50GB,5,High,5,7.03,4,1,1.74,9441.99,51.37,0,Series,Networking,Amazon Prime,0.23,2.08
37,Other,Canada,Unemployed,Widowed,2.43,7.64,1.72,2.38,4.0,Facebook,8.72,PC,74.62,50GB,7,Low,2,8.95,3,5,0.66,6148.56,461.58,3,Series,News,Amazon Prime,0.73,1.12
51,Male,India,Unemployed,Single,4.15,8.31,0.22,1.53,3.93,Instagram,10.06,Smartphone,23.79,Unlimited,3,High,9,5.82,7,9,2.53,1022.69,242.9,0,Series,Entertainment,Amazon Prime,0.09,2.41
14,Other,UK,Student,Divorced,5.28,2.17,1.36,3.11,3.48,TikTok,5.61,Smartphone,87.2,10GB,6,Low,3,7.92,6,1,0.63,8829.01,199.74,3,Short Videos,Education,Netflix,2.97,1.42
26,Male,USA,Professional,Married,2.52,1.83,1.5,4.43,2.22,Instagram,10.24,Tablet,75.0,Unlimited,5,Low,5,6.19,6,3,2.07,4798.33,334.22,0,News,Education,Spotify,0.24,0.09
50,Female,Australia,Student,Divorced,6.8,5.78,4.64,2.21,2.1,Facebook,11.09,Tablet,68.88,50GB,4,Moderate,6,4.43,3,4,0.41,8052.89,457.47,5,Short Videos,Networking,Spotify,3.53,1.35
59,Female,UK,Retired,Widowed,2.39,6.93,4.14,5.17,1.36,Twitter,3.26,Tablet,88.05,Unlimited,4,Moderate,5,8.41,9,4,2.52,8280.4,23.57,5,Short Videos,News,Netflix,1.86,2.97
39,Other,India,Unemployed,Divorced,2.71,5.62,0.8,6.16,4.96,YouTube,9.27,Tablet,89.6,Unlimited,3,High,3,4.49,7,8,0.73,729.44,405.45,1,Short Videos,News,YouTube,0.02,1.62
40,Female,Germany,Professional,Married,2.61,3.27,1.5,6.43,4.58,YouTube,4.29,Tablet,37.27,10GB,6,Moderate,5,8.47,8,1,2.83,9637.43,221.25,2,Short Videos,Networking,Amazon Prime,0.68,2.68
18,Male,India,Unemployed,Widowed,3.34,9.6,0.39,0.93,2.72,Facebook,11.58,Smartphone,82.3,10GB,9,High,7,4.44,7,2,0.12,9492.04,133.89,3,Series,Entertainment,Spotify,3.06,1.22
36,Other,Canada,Professional,Single,5.1,9.76,4.47,6.25,0.64,TikTok,10.8,Tablet,7.67,10GB,7,High,2,4.27,4,9,1.35,2085.22,310.89,1,Movies,News,Spotify,0.67,0.61
40,Male,India,Student,Single,4.18,8.14,2.64,0.72,0.15,TikTok,3.47,PC,25.11,Unlimited,7,Moderate,7,8.01,5,8,0.9,3738.08,239.88,3,Short Videos,Education,Amazon Prime,0.75,2.54
25,Female,Australia,Retired,Married,3.42,2.08,1.42,3.61,3.24,Instagram,10.61,Tablet,36.17,10GB,4,Moderate,3,8.08,3,7,2.15,798.67,195.71,3,Movies,News,Netflix,3.56,1.63
27,Male,Germany,Retired,Married,4.16,4.1,3.17,4.19,3.53,Facebook,6.9,Smartphone,69.91,50GB,1,Low,2,7.32,4,8,2.01,9877.88,122.58,2,Short Videos,Networking,YouTube,3.73,2.91
32,Male,UK,Unemployed,Divorced,5.93,5.98,2.39,4.78,2.28,Facebook,8.27,PC,66.46,10GB,8,High,7,4.84,7,5,0.12,1414.24,317.85,0,Series,Education,YouTube,2.24,2.49
14,Male,USA,Retired,Single,3.43,5.73,1.15,4.52,1.81,Facebook,7.8,Smartphone,27.07,Unlimited,3,High,6,6.96,7,5,0.91,6718.14,203.23,5,Movies,Networking,Netflix,0.46,0.57
29,Other,Australia,Professional,Married,5.79,1.3,0.53,1.77,3.15,Twitter,4.79,Smartphone,87.24,Unlimited,6,High,1,5.23,1,5,0.2,8836.78,235.3,5,Short Videos,Entertainment,Netflix,2.51,0.54
24,Female,Germany,Student,Divorced,1.07,0.66,3.93,1.88,3.74,Instagram,8.25,Smartphone,33.02,10GB,8,High,4,5.62,7,1,1.1,4553.41,262.78,3,Series,Networking,Spotify,0.22,2.82
30,Male,UK,Retired,Single,6.07,2.29,3.32,4.15,1.55,TikTok,8.42,Tablet,63.83,50GB,9,Moderate,5,5.04,6,1,1.48,1924.79,113.2,5,Short Videos,News,Spotify,1.01,1.63
19,Male,Canada,Unemployed,Single,3.29,7.98,3.56,0.64,4.45,TikTok,4.23,Tablet,84.76,50GB,7,Moderate,3,6.14,6,2,2.53,3525.73,92.27,1,Movies,Education,Netflix,1.67,0.53
59,Other,India,Student,Widowed,0.76,1.66,4.14,1.34,1.14,YouTube,4.18,Smartphone,31.12,10GB,4,Moderate,1,4.56,3,3,0.53,4027.84,494.82,2,Movies,Education,YouTube,3.32,2.79
43,Female,Canada,Unemployed,Single,5.26,0.74,0.37,3.31,4.09,Instagram,6.99,Tablet,45.62,10GB,6,Moderate,5,4.72,4,4,1.48,3876.35,102.04,4,Series,Entertainment,Spotify,3.16,1.5
48,Female,Canada,Student,Divorced,3.77,8.8,3.91,4.06,3.92,Instagram,11.53,PC,81.86,10GB,4,Low,5,4.74,3,1,2.48,5075.06,417.63,3,News,News,Netflix,3.46,0.64
54,Other,USA,Professional,Widowed,0.81,3.56,4.97,5.56,4.38,Instagram,2.74,Smartphone,32.29,10GB,7,Moderate,4,4.71,2,7,0.3,530.9,389.0,2,Short Videos,News,Spotify,2.44,0.72
38,Other,UK,Professional,Single,1.22,8.32,0.52,2.74,0.08,Twitter,2.65,Smartphone,35.2,Unlimited,7,Moderate,4,6.0,6,8,0.27,6458.64,305.29,3,News,Networking,Netflix,3.34,2.22
17,Other,Australia,Professional,Married,6.99,9.85,3.12,4.9,3.32,TikTok,4.16,Smartphone,13.64,10GB,5,High,1,5.84,1,9,0.78,9099.1,337.41,3,Series,Networking,Amazon Prime,0.16,1.98
40,Male,India,Professional,Married,4.67,8.81,1.45,1.96,2.54,Instagram,8.92,PC,83.62,50GB,3,High,2,7.78,8,9,2.27,3925.31,188.37,3,News,Education,Amazon Prime,2.04,2.36
43,Female,Australia,Student,Single,4.85,9.14,0.73,6.46,2.99,TikTok,7.61,PC,98.96,10GB,8,High,6,6.54,5,9,1.24,8957.69,429.42,4,News,Education,Amazon Prime,2.28,2.54
51,Male,UK,Retired,Married,1.16,6.42,0.34,2.16,1.05,Twitter,11.24,PC,6.98,Unlimited,1,Low,5,5.2,1,4,2.24,3800.0,229.66,5,Short Videos,Education,YouTube,2.59,1.4
35,Other,Canada,Unemployed,Widowed,5.54,7.07,3.48,3.3,3.2,YouTube,11.96,PC,57.32,10GB,8,Low,5,7.86,3,8,2.88,3626.56,348.06,5,Short Videos,Entertainment,Amazon Prime,1.07,2.98
19,Female,Germany,Unemployed,Divorced,4.91,6.63,4.94,3.38,2.08,Instagram,4.57,PC,16.28,50GB,4,Low,1,7.78,6,5,2.21,7806.49,423.68,0,Short Videos,Education,Netflix,2.68,1.97
27,Male,India,Retired,Divorced,4.03,8.11,0.84,1.7,1.75,YouTube,5.04,Smartphone,15.89,10GB,9,Moderate,6,8.29,2,3,1.54,7338.78,223.21,5,Short Videos,News,Netflix,2.56,1.07
31,Female,India,Unemployed,Widowed,1.32,7.71,0.46,6.77,2.33,Twitter,6.84,Tablet,65.0,50GB,8,Moderate,1,7.11,9,4,2.68,2539.88,314.55,1,Short Videos,Entertainment,Netflix,2.62,2.48
46,Female,Australia,Student,Married,3.05,3.73,2.35,2.87,1.67,TikTok,3.74,PC,16.27,50GB,3,High,3,6.98,3,3,2.05,1525.87,80.65,0,Series,Networking,Netflix,1.7,2.31
42,Female,Germany,Unemployed,Divorced,0.74,4.87,2.72,4.74,2.53,YouTube,7.94,Smartphone,78.84,50GB,6,Low,7,7.09,6,2,2.02,5889.7,390.7,4,Series,Education,Netflix,3.29,1.54
31,Male,Canada,Student,Single,7.76,8.02,3.15,1.58,1.86,YouTube,3.74,Smartphone,80.67,50GB,2,Low,8,7.97,8,7,1.16,7741.25,351.48,3,Series,Networking,Netflix,1.23,2.47
64,Female,USA,Professional,Widowed,7.07,2.05,1.64,1.76,0.96,TikTok,5.59,PC,54.2,Unlimited,2,High,1,7.38,6,8,1.72,4050.78,498.82,1,News,Entertainment,Netflix,0.1,1.74
44,Female,USA,Professional,Single,6.02,4.58,2.8,6.61,0.54,Instagram,5.76,PC,92.04,Unlimited,5,High,2,6.33,5,4,0.44,7679.44,167.24,5,Movies,News,Netflix,2.97,1.11
25,Male,Australia,Professional,Single,3.0,4.77,0.24,4.87,3.76,TikTok,3.79,PC,82.32,50GB,7,Low,6,5.93,2,9,1.67,9011.06,353.92,2,Movies,Education,YouTube,0.81,0.45
18,Female,Australia,Unemployed,Single,3.44,1.65,2.58,2.98,1.58,YouTube,10.77,Tablet,24.25,Unlimited,4,Moderate,7,7.26,2,7,1.62,9395.28,208.33,2,News,Education,Netflix,1.9,0.05
20,Other,Canada,Professional,Married,3.35,9.99,1.82,2.71,1.71,Facebook,3.23,Tablet,20.09,50GB,1,Low,4,6.11,8,5,1.12,1225.71,149.56,4,Movies,News,Spotify,0.26,2.3
25,Male,UK,Retired,Married,1.96,8.09,2.94,5.5,0.14,Twitter,7.33,Smartphone,50.98,50GB,1,Moderate,6,6.45,8,1,1.12,9103.53,336.18,0,Movies,News,Netflix,2.39,1.37
21,Female,Canada,Student,Single,6.65,8.36,3.9,2.33,3.66,Facebook,11.85,Tablet,45.09,50GB,8,Moderate,6,6.67,1,4,2.39,5245.39,100.7,2,Series,Education,Amazon Prime,1.69,1.58
22,Other,Canada,Professional,Divorced,0.81,0.5,2.79,5.79,2.46,Facebook,9.49,PC,42.05,Unlimited,7,Moderate,1,6.04,2,5,0.12,873.35,472.48,0,Short Videos,Networking,Amazon Prime,3.36,2.01
27,Female,Canada,Retired,Single,3.41,6.71,3.74,3.68,1.52,Facebook,9.94,PC,38.45,10GB,2,Low,6,6.21,4,9,1.84,8656.77,283.95,5,Movies,Entertainment,Amazon Prime,0.53,0.04
22,Male,Canada,Retired,Married,0.76,1.65,3.87,6.29,0.78,YouTube,7.64,Smartphone,61.18,Unlimited,3,High,4,5.04,9,9,0.15,6581.15,255.49,5,Series,Education,Netflix,3.25,1.82
59,Male,Australia,Unemployed,Widowed,1.22,0.96,3.73,1.93,1.92,YouTube,11.41,Tablet,56.74,10GB,3,Moderate,9,5.24,2,2,0.18,5143.49,454.74,3,Series,Education,Spotify,0.02,2.57
